Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
12/04/2008 17:48:18,2c36a666c7a9efdfab8490c12f76a98c28ebfb06,"moved the various solve function out of decomposition algorithms
and into a dedicated DecompositionSolver class

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@723496 13f79535-47bb-0310-9956-ffa450edef68",EigenDecompositionImplTest.java,testAbsoluteSplit,yes,yes,yes,yes,,
,,,LUDecompositionImplTest.java,testNoDecompose,yes,yes,yes,yes,,
,,,QRDecompositionImplTest.java,testNoDecompose,yes,yes,yes,yes,,
12/07/2008 14:24:10,71a29150bb9794bdcece023f961831d904055719,"The root solvers now take the function to solve as a parameter to
the solve methods, thus allowing to reuse the same solver for different
functions.

JIRA:MATH-218

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@724191 13f79535-47bb-0310-9956-ffa450edef68",UnivariateRealSolverFactoryImplTest.java,testNewBisectionSolverNull,yes,yes,yes,yes,,
,,,,testNewNewtonSolverNull,yes,yes,yes,yes,,
,,,,testNewBrentSolverNull,yes,yes,yes,yes,,
,,,,testNewSecantSolverNull,yes,yes,yes,yes,,
02/01/2009 15:13:55,8ce2128585be00b451355dd616fc995ddb0be741,"added a PolynomialsUtils class providing factory methods for
Chebyshev, Hermite, Laguerre and Legendre polynomials
the code was extracted from mantissa and modified

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@739840 13f79535-47bb-0310-9956-ffa450edef68",ChebyshevTest.java,testOne,yes,yes,yes,yes,,
,,,,testFirstPolynomials,yes,yes,yes,yes,missing a test,
,,,,testBounds,yes,yes,yes,yes,,
,,,HermiteTest.java,testOne,yes,yes,yes,yes,,
,,,,testFirstPolynomials,yes,yes,yes,yes,missing a test,
,,,LaguerreTest.java,testOne,yes,yes,yes,yes,,
,,,,testFirstPolynomials,yes,yes,yes,yes,missing a test,
,,,LegendreTest.java,testOne,yes,yes,yes,yes,,
,,,,testFirstPolynomials,yes,yes,yes,yes,,
,,,,testHighDegree,yes,yes,yes,yes,missing a test,
03/14/2009 12:38:27,3a0df1ba4839d20d4ace6c0060c8e989b8c8f985,"adapted the Gauss-Newton optimizer to the new top-level optimization interfaces

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@754500 13f79535-47bb-0310-9956-ffa450edef68",GaussNewtonEstimatorTest.java,testQRColumnsPermutation,yes,yes,yes,yes,,
,,,,testBoundParameters,yes,yes,yes,yes,,
03/15/2009 14:11:02,c37f06ed3ad2de8d49a80ac46aae3ab7748598a4,"adapted old Levenberg-Marquardt estimator to new top level optimizers API

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@754727 13f79535-47bb-0310-9956-ffa450edef68",EstimatedParameterTest.java,testConstruction,yes,yes,yes,yes,,
,,,,testBound,yes,yes,yes,yes,,
,,,,testEstimate,yes,yes,yes,yes,,
,,,WeightedMeasurementTest.java,testConstruction,yes,yes,yes,yes,,
,,,,testIgnored,yes,yes,yes,yes,,
,,,,testTheory,yes,yes,yes,yes,,
04/30/2009 7:05:22,d34584bb62d312df58b8e654a8cb91c0a380699d,"simplified Nordsieck transformer
extended its domain to handle several layouts for multistep state

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@770179 13f79535-47bb-0310-9956-ffa450edef68",NordsieckTransformerTest.java,testInverseWithoutDerivatives,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
05/20/2009 12:48:27,b8ad7ef60696828e842e252845ace6b1799976ba,"Disabled test that fails under GUMP.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@776787 13f79535-47bb-0310-9956-ffa450edef68",NaturalRankingTest.java,testNaNsFixedTiesRandom,yes,yes,yes,yes,,
05/31/2009 17:01:17,273892eeca02f0e10f775625ba4964227e874d98,"updated tests to take into account serialization changes and the new
derivatives consistency check
these tests have been converted to Junit4

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@780512 13f79535-47bb-0310-9956-ffa450edef68",ClassicalRungeKuttaStepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,DormandPrince54StepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,DormandPrince853StepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,EulerStepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,GraggBulirschStoerStepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,HighamHall54StepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
,,,ThreeEighthesStepInterpolatorTest.java,testDerivativesConsistency,no,no,no,no,,
05/31/2009 17:07:26,e33f09ce4fe77a1ce2aa90461f9b9d87d89404ce,"completely redesigned Adams-Bashforth and Adams-Moulton integrators
they are now provided by a single class and use the Nordsieck form
with higher derivatives at current step instead of classical form
with only first derivatives but at several steps.
The implementation is simpler for both the integrators and the step
interpolator and it allows a future enhancement with adaptive stepsize.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@780514 13f79535-47bb-0310-9956-ffa450edef68",AdamsBashforthIntegratorTest.java,testCoefficients,yes,yes,yes,yes,missing tests,
,,,,testDimensionCheck,yes,yes,yes,yes,,
,,,AdamsMoultonIntegratorTest.java,testPredictorCoefficients,yes,yes,yes,yes,,
,,,,testCorrectorCoefficients,yes,yes,yes,yes,,
,,,,testDimensionCheck,yes,yes,yes,yes,,
05/31/2009 17:11:21,8de68c4404b566ff8809ff9a5d896d277d56e5cc,"removed obsolete NordsieckTransformer

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@780517 13f79535-47bb-0310-9956-ffa450edef68",NordsieckTransformerTest.java,nonInvertible,yes,yes,yes,yes,,
,,,,dimension2,yes,yes,yes,yes,,
,,,,dimension2Der,yes,yes,yes,yes,,
,,,,dimension3,yes,yes,yes,yes,,
,,,,dimension3Der,yes,yes,yes,yes,,
,,,,dimension7,yes,yes,yes,yes,,
,,,,dimension7Der,yes,yes,yes,yes,,
,,,,matrices1,yes,yes,yes,yes,,
,,,,matrices2,yes,yes,yes,yes,,
,,,,matrices3,yes,yes,yes,yes,,
,,,,matrices4,yes,yes,yes,yes,,
,,,,adamsBashforth2,yes,yes,yes,yes,,
,,,,adamsBashforth3,yes,yes,yes,yes,,
,,,,adamsBashforth4,yes,yes,yes,yes,,
,,,,adamsBashforth5,yes,yes,yes,yes,,
,,,,polynomial,yes,yes,yes,yes,,
06/02/2009 15:45:53,4db6140e9ada212e4e10c0f650cea9264624d2ce,"reenabled tests
removed a development test that was committed by error

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@781159 13f79535-47bb-0310-9956-ffa450edef68",AdamsIntegratorTest.java,comparison,yes,yes,yes,yes,,
06/07/2009 14:13:17,2138d3bfbab31de768da28cba774f0efb701071a,"added serialization test
changed tests to Junit 4

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@782435 13f79535-47bb-0310-9956-ffa450edef68",DummyStepInterpolatorTest.java,testSerializationError,yes,yes,yes,yes,,
06/19/2009 7:36:16,2a1842f3ef3a665fac85672aeff02f55e6c576a0,"merged curve fitting from mantissa into commons-math

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@786479 13f79535-47bb-0310-9956-ffa450edef68",AbstractCurveFitterTest.java,testAlreadySorted,yes,yes,yes,yes,,
,,,,testReversed,yes,yes,yes,yes,,
,,,,testRandom,yes,yes,yes,yes,,
06/20/2009 13:15:54,d8575cde512b07b039a14b15fb3a196dacaf9a99,"changed the Adams-Bashforth and Adams-Moulton multistep integrators to adaptive stepsize.
this was made possible thanks to the Nordsieck representation of integration state

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@786877 13f79535-47bb-0310-9956-ffa450edef68",AdamsMoultonIntegratorTest.java,decreasingSteps,conflict,no,yes,no,missing tests - bigStep,
,,,,smallStep,no,no,no,no,,
06/20/2009 13:53:08,4474f96263e32ea0194ab21b63816bed8e4238e1,"removed lots of serialization in ODE
the only classes/interfaces for which serialization is really important in this package are the step interpolators. The reason for that is that the ContinuousOutputModel is explicitly serializable and contains step interpolators. This allows users to perform integration of any complex model and to save the result of the integration for all integration range by serializing a ContinuousOutputModel instance. This feature is a major one.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@786881 13f79535-47bb-0310-9956-ffa450edef68",AdamsBashforthIntegratorTest.java,serialization,yes,yes,yes,yes,,
,,,AdamsMoultonIntegratorTest.java,serialization,yes,yes,yes,yes,,
06/20/2009 18:37:47,15c9f02e5cec03298c28f20190c73398694188fa,"Remove Serializable from some tranient analitics classes.

Let me know if I've nuked ur favorite one, and I can put it back


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@786927 13f79535-47bb-0310-9956-ffa450edef68",BisectionSolverTest.java,testSerialization,yes,yes,yes,yes,,
,,,NewtonSolverTest.java,testSerialization,yes,yes,yes,yes,,
07/07/2009 4:19:46,b9d8c68e2f5f7f3a13773140a7ee4bf62972f17c,"fixed a bracketing issue due to inconsistent checks
JIRA: MATH-280

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@791766 13f79535-47bb-0310-9956-ffa450edef68",UnivariateRealSolverUtilsTest.java,testBracketCornerSolution,yes,yes,yes,yes,,
09/18/2009 9:39:18,5fbeb731b9d26a6f340fd3772e86cd23ba61c65a,"cleaned up tests wrt Junit 4

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@816654 13f79535-47bb-0310-9956-ffa450edef68",LoessInterpolatorTest.java,testNonStrictlyIncreasing,no,no,no,no,,rėfactored; split into six
,,,,testNotAllFiniteReal,no,no,no,no,,refactored; split into two
,,,,testCompletelyIncorrectBandwidth,no,no,no,no,,refactored; split into two
10/11/2009 21:04:06,2c8a114f766d05929e908fd79c5e4baf5a3841ae,"Implemented alternative algorithm for generating poisson deviates when the mean is large. JIRA: MATH-294.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@824214 13f79535-47bb-0310-9956-ffa450edef68",RandomDataTest.java,testNextPoissonLargeMean,yes,yes,yes,yes,,
12/30/2009 17:17:01,c06cc933b6814a76ecf2c6aef459b61d0bc25fb2,"changed SVD to compute either compact SVD (using only positive singular values)
or truncated SVD (using only singular values up to a user-specified max number)
started fix of SVD solver that did not compute a least square solution
the fix is not complete yet as it seems the solution does not really gives the
smallest possible residuals. See for example the commented out parts of
testMath320A in SingularValueSolverTest.
JIRA: MATH-320

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@894735 13f79535-47bb-0310-9956-ffa450edef68",SingularValueSolverTest.java,testSolveSingularityErrors,no,no,no,no,,
01/26/2010 4:28:12,25f0b048097d109201db7735e0bb53ce878581df,"Disabled testNextPoissonConsistency pending resolution of MATH-282.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@903156 13f79535-47bb-0310-9956-ffa450edef68",RandomDataTest.java,testNextPoissonConsistency,yes,yes,yes,yes,,
01/26/2010 15:53:59,4119c355543a62c950ac981f802ab201e20de1a4,"added Eugene Kirpichov's patch to ignore zero weights in Loess interpolation
JIRA: MATH-296

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@903440 13f79535-47bb-0310-9956-ffa450edef68",LoessInterpolatorTest.java,testMath296withWeights,yes,yes,yes,yes,,
02/16/2010 5:20:17,c1ce0e39e0f74fd50e7fd3687423e6cc7151beb2,"Dummy tests removed after revision 910475

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@910479 13f79535-47bb-0310-9956-ffa450edef68",SingularValueSolverTest.java,testTruncated,yes,yes,yes,yes,,
,,,,testMath320A,yes,yes,yes,yes,,
03/27/2010 15:00:19,b24f72809bfdc17ac7e9dd4114208f36b319ea80,"Moved mantissa, experimental sources to branches.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@928257 13f79535-47bb-0310-9956-ffa450edef68",UnivariateRealFunctionUtilsTest.java,testLocalMaximumCentered,yes,yes,yes,yes,,
,,,,testLocalMaximumForward,yes,yes,yes,yes,,
,,,,testLocalMaximumBackward,yes,yes,yes,yes,,
,,,CholeskySolverTest.java,testNumericalZero,yes,yes,yes,yes,,
,,,RecursiveLayoutRealMatrixTest.java,testDimensions,yes,yes,yes,yes,,
,,,,testCopyFunctions,yes,yes,yes,yes,,
,,,,testAdd,yes,yes,yes,yes,,
,,,,testAddFail,yes,yes,yes,yes,,
,,,,testNorm,yes,yes,yes,yes,,
,,,,testFrobeniusNorm,yes,yes,yes,yes,,
,,,,testPlusMinus,yes,yes,yes,yes,,
,,,,testMultiply,yes,yes,yes,yes,,
,,,,testSeveralBlocks,yes,yes,yes,yes,,
,,,,testMultiply2,yes,yes,yes,yes,,
,,,,testTrace,yes,yes,yes,yes,,
,,,,testScalarAdd,yes,yes,yes,yes,,
,,,,testOperate,yes,yes,yes,yes,,
,,,,testMultiplyMedium,yes,yes,yes,yes,,
,,,,testOperateLarge,yes,yes,yes,yes,,
,,,,testOperatePremultiplyLarge,yes,yes,yes,yes,,
,,,,testMath209,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testPremultiplyVector,yes,yes,yes,yes,,
,,,,testPremultiply,yes,yes,yes,yes,,
,,,,testGetVectors,yes,yes,yes,yes,,
,,,,testGetEntry,yes,yes,yes,yes,,
,,,,testExamples,yes,yes,yes,yes,,
,,,,testGetSubMatrix,yes,yes,yes,yes,,
,,,,testGetSetMatrixLarge,yes,yes,yes,yes,,
,,,,testCopySubMatrix,yes,yes,yes,yes,,
,,,,testGetRowMatrix,yes,yes,yes,yes,,
,,,,testSetRowMatrix,yes,yes,yes,yes,,
,,,,testGetSetRowMatrixLarge,yes,yes,yes,yes,,
,,,,testGetColumnMatrix,yes,yes,yes,yes,,
,,,,testSetColumnMatrix,yes,yes,yes,yes,,
,,,,testGetSetColumnMatrixLarge,yes,yes,yes,yes,,
,,,,testGetRowVector,yes,yes,yes,yes,,
,,,,testSetRowVector,yes,yes,yes,yes,,
,,,,testGetSetRowVectorLarge,yes,yes,yes,yes,,
,,,,testGetColumnVector,yes,yes,yes,yes,,
,,,,testSetColumnVector,yes,yes,yes,yes,,
,,,,testGetSetColumnVectorLarge,yes,yes,yes,yes,,
,,,,testGetRow,yes,yes,yes,yes,,
,,,,testSetRow,yes,yes,yes,yes,,
,,,,testGetSetRowLarge,yes,yes,yes,yes,,
,,,,testGetColumn,yes,yes,yes,yes,,
,,,,testSetColumn,yes,yes,yes,yes,,
,,,,testGetSetColumnLarge,yes,yes,yes,yes,,
,,,,testEqualsAndHashCode,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testSetSubMatrix,yes,yes,yes,yes,,
,,,,testWalk,yes,yes,yes,yes,,
,,,BeanListUnivariateImplTest.java,testStats,yes,yes,yes,yes,,
,,,,testPropStats,yes,yes,yes,yes,,
,,,,testSetPropertyName,yes,yes,yes,yes,,
,,,,testAddValue,yes,yes,yes,yes,,
,,,,testSerialization,yes,yes,yes,yes,,
,,,BeanTransformerTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testConstructorString,yes,yes,yes,yes,,
,,,,testSetPropertyName,yes,yes,yes,yes,,
,,,,testTransformNoSuchMethod,yes,yes,yes,yes,,
,,,,testTransform,yes,yes,yes,yes,,
,,,,testTransformInvalidType,yes,yes,yes,yes,,
,,,PolynomialDoubleTest.java,testConstructors,yes,yes,yes,yes,,
,,,,testConversion,yes,yes,yes,yes,,
,,,,testString,yes,yes,yes,yes,,
,,,,testAddition,yes,yes,yes,yes,,
,,,,testSubtraction,yes,yes,yes,yes,,
,,,,testMultiplication,yes,yes,yes,yes,,
,,,PolynomialFractionTest.java,testNullDenominator,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testSimplification,yes,yes,yes,yes,,
,,,,testInvert,yes,yes,yes,yes,,
,,,,testAddition,yes,yes,yes,yes,,
,,,,testSubtraction,yes,yes,yes,yes,,
,,,,testMultiplication,yes,yes,yes,yes,,
,,,,testDivision,yes,yes,yes,yes,,
,,,,testEuclidianDivision,yes,yes,yes,yes,,
,,,PolynomialRationalTest.java,testZero,yes,yes,yes,yes,,
,,,,testConstructors,yes,yes,yes,yes,,
,,,,testString,yes,yes,yes,yes,,
,,,,testAddition,yes,yes,yes,yes,,
,,,,testSubtraction,yes,yes,yes,yes,,
,,,,testMultiplication,yes,yes,yes,yes,,
,,,,testLCM,yes,yes,yes,yes,,
,,,,testEuclidianDivision,yes,yes,yes,yes,,
,,,RationalNumberTest.java,testNullDenominator,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testSimplification,yes,yes,yes,yes,,
,,,,testInvert,yes,yes,yes,yes,,
,,,,testAddition,yes,yes,yes,yes,,
,,,,testSubtraction,yes,yes,yes,yes,,
,,,,testMultiplication,yes,yes,yes,yes,,
,,,,testDivision,yes,yes,yes,yes,,
,,,BasicSampledFunctionIteratorTest.java,testIteration,yes,yes,yes,yes,,
,,,,testExhausted,yes,yes,yes,yes,,
,,,,testUnderlyingException,yes,yes,yes,yes,,
,,,ComputableFunctionSamplerTest.java,testBeginStepNumber,yes,yes,yes,yes,,
,,,,testRangeNumber,yes,yes,yes,yes,,
,,,,testRangeStepNoAdjust,yes,yes,yes,yes,,
,,,,testRangeStepAdjust,yes,yes,yes,yes,,
,,,,testOutOfRange,yes,yes,yes,yes,,
,,,,testUnderlyingException,yes,yes,yes,yes,,
,,,ScalarValuedPairTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testCopyConstructor,yes,yes,yes,yes,,
,,,BasicSampledFunctionIteratorTest.java,testIteration,yes,yes,yes,yes,,
,,,,testExhausted,yes,yes,yes,yes,,
,,,,testUnderlyingException,yes,yes,yes,yes,,
,,,ComputableFunctionSamplerTest.java,testBeginStepNumber,yes,yes,yes,yes,,
,,,,testRangeNumber,yes,yes,yes,yes,,
,,,,testRangeStepNoAdjust,yes,yes,yes,yes,,
,,,,testRangeStepAdjust,yes,yes,yes,yes,,
,,,,testOutOfRange,yes,yes,yes,yes,,
,,,,testUnderlyingException,yes,yes,yes,yes,,
,,,VectorialValuedPairTest.java,testConstructor,yes,yes,yes,yes,,
,,,,testCopyConstructor,yes,yes,yes,yes,,
,,,DiagonalMatrixTest.java,testConstantDiagonal,yes,yes,yes,yes,,
,,,,testNoSetOutsideOfDiagonal,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,GeneralMatrixTest.java,testDimensions,yes,yes,yes,yes,,
,,,,testInvalidDimensions,yes,yes,yes,yes,,
,,,,testElements,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testAddKO,yes,yes,yes,yes,,
,,,,testAddOK,yes,yes,yes,yes,,
,,,,testSelfAdd,yes,yes,yes,yes,,
,,,,testSubKO,yes,yes,yes,yes,,
,,,,testSubOK,yes,yes,yes,yes,,
,,,,testSelfSub,yes,yes,yes,yes,,
,,,,testMulMKO,yes,yes,yes,yes,,
,,,,testMulMOK,yes,yes,yes,yes,,
,,,,testMulD,yes,yes,yes,yes,,
,,,,testSelfMul,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,GeneralSquareMatrixTest.java,testDimensions,yes,yes,yes,yes,,
,,,,testInvalidDimensions,yes,yes,yes,yes,,
,,,,testElements,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testSelfAdd,yes,yes,yes,yes,,
,,,,testSelfSub,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,LowerTriangularMatrixTest.java,testNoSetOutsideOfLowerTriangle,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testSelfAdd,yes,yes,yes,yes,,
,,,,testSelfSub,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,MatrixFactoryTest.java,testInvalidDimensions,yes,yes,yes,yes,,
,,,,testDiagonal,yes,yes,yes,yes,,
,,,,testLowerTriangular,yes,yes,yes,yes,,
,,,,testUpperTriangular,yes,yes,yes,yes,,
,,,,testSquare,yes,yes,yes,yes,,
,,,,testGeneral,yes,yes,yes,yes,,
,,,NonNullRangeTest.java,testPublicAttributes,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testIntersection,yes,yes,yes,yes,,
,,,,testReunion,yes,yes,yes,yes,,
,,,SymetricalMatrixTest.java,testBuildWAAt,yes,yes,yes,yes,,
,,,,testNoSetOutsideOfDiagonal,yes,yes,yes,yes,,
,,,,testSetElementAndSymetricalElement,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testSelfAdd,yes,yes,yes,yes,,
,,,,testSelfSub,yes,yes,yes,yes,,
,,,,testSelfAddWAAt,yes,yes,yes,yes,,
,,,,testSingular,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,UpperTriangularMatrixTest.java,testNoSetOutsideOfUpperTriangle,yes,yes,yes,yes,,
,,,,testCopy,yes,yes,yes,yes,,
,,,,testDuplicate,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testSelfAdd,yes,yes,yes,yes,,
,,,,testSelfSub,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,GaussLegendreIntegratorTest.java,testExactIntegration,yes,yes,yes,yes,,
,,,ScalarSampleStatisticsTest.java,testBasicStats,yes,yes,yes,yes,,
,,,,testAddSample,yes,yes,yes,yes,,
,,,,testAddArray,yes,yes,yes,yes,,
,,,BrentSolverTest.java,testAlefeldPotraShi,yes,yes,yes,yes,,
,,,ArrayMapperTest.java,testDimensionCheck,yes,yes,yes,yes,,
,,,,testUpdateObjects,yes,yes,yes,yes,,
,,,,testUpdateArray,yes,yes,yes,yes,,
,,,IntervalTest.java,test1,yes,yes,yes,yes,,
,,,,test2,yes,yes,yes,yes,,
,,,,test3,yes,yes,yes,yes,,
,,,,test4,yes,yes,yes,yes,,
,,,,test5,yes,yes,yes,yes,,
,,,IntervalsListTest.java,testAddBetween,yes,yes,yes,yes,,
,,,,testAddReducingLastHole,yes,yes,yes,yes,,
,,,,test1,yes,yes,yes,yes,,
,,,MappableArrayTest.java,testDimensionCheck,yes,yes,yes,yes,,
,,,,testUpdateObjects,yes,yes,yes,yes,,
,,,MappableScalarTest.java,testDimensionCheck,yes,yes,yes,yes,,
,,,,testUpdateObjects,yes,yes,yes,yes,,
,,,,testUpdateArray,yes,yes,yes,yes,,
07/28/2010 7:03:41,962315ba9322bb96d5b1941c4272501cc7cc050e,"MATH-395: Another bug uncovered; all things being equal, the code now behaves
like the Puthon implementation.
MATH-397: Modified ""BrentOptimizer"" following the changes in
""AbstractUnivariateRealOptimizer"".


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@980032 13f79535-47bb-0310-9956-ffa450edef68",BrentOptimizerTest.java,testQuinticMinPythonComparison,no,no,no,no,,
08/01/2010 10:16:54,2431890261cbfe3cf0b5ba85e3037426c646adcf,"deprecated an old style exception that was forgotten

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@981243 13f79535-47bb-0310-9956-ffa450edef68",MatrixIndexExceptionTest.java,testConstructorMessage,yes,yes,yes,yes,,
09/28/2010 7:38:09,4b9b7585dcfb93bc027f6e08931100edee6a00b8,"Removed deprecated code.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@1002145 13f79535-47bb-0310-9956-ffa450edef68",NormalDistributionTest.java,testSetMean,yes,yes,yes,yes,,
,,,,testSetStandardDeviation,yes,yes,yes,yes,,
09/30/2010 7:55:02,c6d53a52582d2d4c6fdec7a5f1a8cbee16db0e65,"ade all distribution classes immutable (as per the conclusion of MATH-349).
Modified two classes in the ""stat"" package where some code conflicted with
ditribution immutability.
Replaced instances of ""IllegalArgumentException"" with an appropriate stateful
exception.
Cleaned up Javadoc comments.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@1003048 13f79535-47bb-0310-9956-ffa450edef68",WeibullDistributionTest.java,testSetAlpha,yes,yes,yes,yes,,
,,,,testSetBeta,yes,yes,yes,yes,,
10/01/2010 7:46:16,de001e7bcf9acb761047bdcf40f48244f8b63642,"Removed deprecated code in implementations of ""IntegerDistribution"".
Added ""final"" keyword.
Added ""sample"" methods to ""IntegerDistribution"" and ""ContinuousDistribution""
interfaces.
Cleaned up Javadoc.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@1003512 13f79535-47bb-0310-9956-ffa450edef68",HypergeometricDistributionTest.java,testPopulationSize,conflict,yes,no,yes,,
10/01/2010 9:54:37,5ca553511dea61641f248f71be203b91f1682e95,"Split multiple tests

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@1003549 13f79535-47bb-0310-9956-ffa450edef68",UnivariateRealSolverUtilsTest.java,testSolveBadParameters,no,no,no,no,,
,,,,testBadParameters,no,no,no,no,,
10/27/2010 8:16:57,826fc64e968e5fd84dae5757537ab8ed815e2126,"MATH-425
Deleted deprecated classes in package ""linear"".
Removed redundant methods in ""Array2DRowRealMatrix"".
Removed usage of ""MatrixIndexException"" (class is now deprecated).
Javadoc clean up.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@1027952 13f79535-47bb-0310-9956-ffa450edef68",BigMatrixImplTest.java,testDimensions,yes,yes,yes,yes,,
,,,,testCopyFunctions,yes,yes,yes,yes,,
,,,,testConstructors,yes,yes,yes,yes,,
,,,,testAdd,yes,yes,yes,yes,,
,,,,testAddFail,yes,yes,yes,yes,,
,,,,testNorm,yes,yes,yes,yes,,
,,,,testPlusMinus,yes,yes,yes,yes,,
,,,,testMultiply,yes,yes,yes,yes,,
,,,,testMultiply2,yes,yes,yes,yes,,
,,,,testIsSingular,yes,yes,yes,yes,,
,,,,testInverse,yes,yes,yes,yes,,
,,,,testSolve,yes,yes,yes,yes,,
,,,,testDeterminant,yes,yes,yes,yes,,
,,,,testTrace,yes,yes,yes,yes,,
,,,,testScalarAdd,yes,yes,yes,yes,,
,,,,testOperate,yes,yes,yes,yes,,
,,,,testMath209,yes,yes,yes,yes,,
,,,,testTranspose,yes,yes,yes,yes,,
,,,,testPremultiplyVector,yes,yes,yes,yes,,
,,,,testPremultiply,yes,yes,yes,yes,,
,,,,testGetVectors,yes,yes,yes,yes,,
,,,,testLUDecomposition,yes,yes,yes,yes,,
,,,,testSubMatrix,yes,yes,yes,yes,,
,,,,testGetColumnMatrix,yes,yes,yes,yes,,
,,,,testGetRowMatrix,yes,yes,yes,yes,,
,,,,testEqualsAndHashCode,yes,yes,yes,yes,,
,,,,testToString,yes,yes,yes,yes,,
,,,,testSetSubMatrix,yes,yes,yes,yes,,
